employeeId,specialization,role,location,tLevel,lastUpdated
I770144,ABAP Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:10:41.480Z
I770145,Data Scientist,Data Scientist,"Devanahalli Campuses, Bangalore",T2,2024-10-26T10:00:00.000Z
I770146,HANA Developer,Backend Developer,"Whitefield, Bangalore",T3,2024-10-26T10:00:00.000Z
I770147,Procurement Specialist,Developer,Gurugram,T2,2024-10-25T10:30:00.000Z
I770148,BTP Developer,Full Stack Developer,Pune,T3,2024-10-25T10:30:00.000Z
I770149,Test Engineer,QA Engineer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
I770150,Developer,Developer,"Whitefield, Bangalore",T3,2024-10-26T10:00:00.000Z
I770151,ABAP,Backend Developer,"Devanahalli Campuses, Bangalore",T2,2024-10-26T10:00:00.000Z
I770152,SAP UI5,Frontend Developer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
I770153,BTP,Full Stack Developer,Gurugram,T3,2025-10-26T04:46:29.767Z
I770154,Ariba Developer,Developer,Mumbai,T3,2024-10-26T10:00:00.000Z
I770155,Procurement Analyst,Data Scientist,Pune,T2,2024-10-26T10:00:00.000Z
I770156,Ariba Integration Specialist,Solution Architect,Hyderabad,T4,2024-10-26T10:00:00.000Z
I770157,Ariba QA Engineer,QA Engineer,Mumbai,T2,2024-10-26T10:00:00.000Z
I770158,Ariba Solutions Architect,Architect,Gurugram,T4,2024-10-26T10:00:00.000Z
I770159,BTP Full Stack Developer,Full Stack Developer,"Whitefield, Bangalore",T3,2024-10-26T10:00:00.000Z
I770160,BTP CAP Developer,Backend Developer,"Devanahalli Campuses, Bangalore",T3,2024-10-26T10:00:00.000Z
I770161,BTP Integration Consultant,Solution Architect,Pune,T4,2024-10-26T10:00:00.000Z
I770162,BTP UI5 Developer,Frontend Developer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
I770163,BTP DevOps Engineer,DevOps Engineer,Hyderabad,T3,2024-10-26T10:00:00.000Z
I770164,Data Analyst,Data Scientist,Mumbai,T3,2024-10-26T10:00:00.000Z
I770165,Business Intelligence Developer,AI/ML Engineer,Gurugram,T4,2024-10-26T10:00:00.000Z
I770166,Analytics Cloud Developer,Developer,Pune,T3,2024-10-26T10:00:00.000Z
I770167,SAC Consultant,Developer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
I770168,Data Warehouse Specialist,Backend Developer,"Devanahalli Campuses, Bangalore",T3,2024-10-26T10:00:00.000Z
I753890,SAP BTP Developer,Data Scientist,"Whitefield, Bangalore",T1,2026-03-04T09:13:10.000Z
I763266,Full Stack Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:15:16.658Z
I755736,SAP BTP Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:16:27.000Z
I769086,Full Stack Developer,Data Scientist,"Whitefield, Bangalore",T1,2026-03-04T09:18:00.000Z
I346659,SAP Integration,Architect,"Whitefield, Bangalore",T2,2026-03-04T09:19:31.000Z
I749085,SAPUI5 Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:22:12.000Z
I763161,SAP HANA Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:24:42.000Z
I750145,SAP HANA Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:26:35.000Z
I755719,SAP HANA Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:28:08.000Z
I773926,Full Stack Developer,Developer,"Devanahalli Campuses, Bangalore",T1,2026-03-04T09:42:35.107Z
I774156,Full Stack Developer,Developer,"Whitefield, Bangalore",T1,2026-03-04T09:45:02.342Z
