employeeId,specialization,role,location,tLevel,lastUpdated
EMP001,SAPUI5 Developer,Architect,Mumbai,T3,2025-10-31T17:27:48.663Z
EMP002,Data Scientist,Data Scientist,"Devanahalli Campuses, Bangalore",T2,2024-10-26T10:00:00.000Z
EMP003,HANA Developer,Backend Developer,"Whitefield, Bangalore",T3,2024-10-26T10:00:00.000Z
EMP004,Procurement Specialist,Developer,Gurugram,T2,2024-10-25T10:30:00.000Z
EMP005,BTP Developer,Full Stack Developer,Pune,T3,2024-10-25T10:30:00.000Z
EMP006,Test Engineer,QA Engineer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
EMP007,Developer,Developer,"Whitefield, Bangalore",T3,2024-10-26T10:00:00.000Z
EMP008,ABAP,Backend Developer,"Devanahalli Campuses, Bangalore",T2,2024-10-26T10:00:00.000Z
EMP009,SAP UI5,Frontend Developer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
EMP010,BTP,Full Stack Developer,Gurugram,T3,2025-10-26T04:46:29.767Z
EMP011,Ariba Developer,Developer,Mumbai,T3,2024-10-26T10:00:00.000Z
EMP012,Procurement Analyst,Data Scientist,Pune,T2,2024-10-26T10:00:00.000Z
EMP013,Ariba Integration Specialist,Solution Architect,Hyderabad,T4,2024-10-26T10:00:00.000Z
EMP014,Ariba QA Engineer,QA Engineer,Mumbai,T2,2024-10-26T10:00:00.000Z
EMP015,Ariba Solutions Architect,Architect,Gurugram,T4,2024-10-26T10:00:00.000Z
EMP016,BTP Full Stack Developer,Full Stack Developer,"Whitefield, Bangalore",T3,2024-10-26T10:00:00.000Z
EMP017,BTP CAP Developer,Backend Developer,"Devanahalli Campuses, Bangalore",T3,2024-10-26T10:00:00.000Z
EMP018,BTP Integration Consultant,Solution Architect,Pune,T4,2024-10-26T10:00:00.000Z
EMP019,BTP UI5 Developer,Frontend Developer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
EMP020,BTP DevOps Engineer,DevOps Engineer,Hyderabad,T3,2024-10-26T10:00:00.000Z
EMP021,Data Analyst,Data Scientist,Mumbai,T3,2024-10-26T10:00:00.000Z
EMP022,Business Intelligence Developer,AI/ML Engineer,Gurugram,T4,2024-10-26T10:00:00.000Z
EMP023,Analytics Cloud Developer,Developer,Pune,T3,2024-10-26T10:00:00.000Z
EMP024,SAC Consultant,Developer,"Whitefield, Bangalore",T2,2024-10-26T10:00:00.000Z
EMP025,Data Warehouse Specialist,Backend Developer,"Devanahalli Campuses, Bangalore",T3,2024-10-26T10:00:00.000Z
